complaint_id,customer_id,complaint_date,category,description,status,resolution,priority
CMP00001,CUS-06615,2025-03-28,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,high
CMP00002,CUS-06872,2025-01-07,product_quality,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Refund diproses,critical
CMP00003,CUS-11146,2025-01-27,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,,high
CMP00004,CUS-05633,2025-02-25,account_security,"Saya tidak pernah melakukan order #12179, tapi ada transaksi di rekening saya!",resolved,Escalated,high
CMP00005,CUS-06330,2025-01-06,account_security,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,,critical
CMP00006,CUS-02877,2025-03-02,billing_error,"Saya tidak pernah melakukan order #193283, tapi ada transaksi di rekening saya!",closed,,high
CMP00007,CUS-10725,2025-03-20,packaging,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",closed,,critical
CMP00008,CUS-07369,2025-04-03,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,high
CMP00009,CUS-11901,2025-02-26,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,high
CMP00010,CUS-02437,2025-02-13,billing_error,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,open,,critical
CMP00011,CUS-03578,2025-02-24,delivery_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,high
CMP00012,CUS-01057,2025-02-23,promo_issue,"Saya tidak pernah melakukan order #100616, tapi ada transaksi di rekening saya!",resolved,,critical
CMP00013,CUS-01935,2025-03-20,account_security,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,critical
CMP00014,CUS-01104,2025-03-13,product_quality,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Sudah diganti,critical
CMP00015,CUS-10748,2025-06-09,promo_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,critical
CMP00016,CUS-06378,2025-03-04,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,,critical
CMP00017,CUS-05806,2025-04-24,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Escalated,critical
CMP00018,CUS-04820,2025-03-11,app_bug,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Sudah diganti,high
CMP00019,CUS-01773,2025-03-30,delivery_issue,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Refund diproses,critical
CMP00020,CUS-05577,2025-02-11,wrong_item,"Saya tidak pernah melakukan order #25229, tapi ada transaksi di rekening saya!",resolved,,critical
CMP00021,CUS-05181,2025-02-10,app_bug,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Refund diproses,high
CMP00022,CUS-10181,2025-02-10,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00023,CUS-00910,2025-02-11,refund_delay,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",closed,Escalated,high
CMP00024,CUS-01264,2025-04-20,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,critical
CMP00025,CUS-04513,2025-02-28,customer_service,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,in_progress,,high
CMP00026,CUS-03120,2025-02-23,wrong_item,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Escalated,high
CMP00027,CUS-00020,2025-06-17,account_security,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",resolved,,critical
CMP00028,CUS-05921,2025-03-01,app_bug,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,,critical
CMP00029,CUS-04861,2025-04-25,packaging,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,in_progress,,critical
CMP00030,CUS-05521,2025-02-16,app_bug,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Menunggu respon seller,critical
CMP00031,CUS-09112,2025-02-14,packaging,"Saya tidak pernah melakukan order #70964, tapi ada transaksi di rekening saya!",resolved,,high
CMP00032,CUS-05664,2025-02-15,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,,high
CMP00033,CUS-00535,2025-04-12,billing_error,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,,critical
CMP00034,CUS-06621,2025-01-30,app_bug,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,,high
CMP00035,CUS-05447,2025-06-12,product_quality,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,,high
CMP00036,CUS-09906,2025-02-26,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,,critical
CMP00037,CUS-01521,2025-05-07,product_quality,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,open,,high
